,name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
95,Carl Larsen Park,3819247075119379493,restroom,0,0,0,0,37.73945885,-122.47604415,rec,POINT (-122.47604415 37.73945885),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,154.0,40.0,10.0,7.0
96,Mission Rec Center,6090540971816192510,drinking_water,1,0,0,0,37.75812351,-122.4130488,rec,POINT (-122.4130488 37.75812351),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,215.0,53.0,3.0,2.0
97,Hallidie Plaza (JCDecaux),6069116949746546373,restroom,0,0,0,0,37.7844142,-122.4077797,pit_stop,POINT (-122.4077797 37.7844142),3.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,,19.0,5.0,3.0
98,3rd and Clement,2353041988599802789,drinking_water,0,1,0,0,37.783196,-122.461368,puc,POINT (-122.461368 37.783196),1.0,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11.0,,5.0,8.0,4.0
99,Judah and La Playa streets (Rec Park),908664278546294335,restroom,0,0,0,0,37.7603081,-122.5091618,pit_stop,POINT (-122.5091618 37.7603081),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,,39.0,10.0,7.0
100,Balboa Park,5104072779848174871,drinking_water,1,0,0,0,37.72581815,-122.44332779,rec,POINT (-122.44332779 37.72581815),11.0,Outer Mission,2023-03-08,2023-03-08T15:29:00Z,28.0,76.0,94.0,9.0,1.0
101,Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76735036,-122.50799499,rec,POINT (-122.50799499 37.76735036),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
102,Heron's Head Park,797741572696973161,drinking_water,1,1,0,1,37.740119,-122.37597,port,POINT (-122.37597 37.740119),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,,56.0,2.0,9.0
103,Mountain Lake Park,4251616439565783958,drinking_water,1,0,0,0,37.78696666,-122.46791833,rec,POINT (-122.46791833 37.78696666),1.0,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11.0,134.0,4.0,,6.0
104,Lafayette Park,93632238906721509,drinking_water,1,0,0,0,37.79130919,-122.42860641,rec,POINT (-122.42860641 37.79130919),2.0,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30.0,212.0,102.0,4.0,6.0
105,Hayes Valley Playground,8715421085735745893,drinking_water,1,0,0,0,37.77606455,-122.42739973,rec,POINT (-122.42739973 37.77606455),5.0,Hayes Valley,2023-03-08,2023-03-08T15:29:00Z,9.0,174.0,22.0,4.0,11.0
106,Sgt. John Macaulay Park,1782788959639092500,drinking_water,1,0,0,0,37.78538204,-122.41823489,rec,POINT (-122.41823489 37.78538204),5.0,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36.0,113.0,20.0,5.0,10.0
